date,year,district,address,race,sex,age,category,weapon
02/08/2001,2001,18,"5900 Cedar, Philadelphia, PA",B,M,29,shooting,Firearm
02/08/2001,2001,35,"6800 N. Broad, Philadelphia, PA",B,M,29,shooting,Firearm
02/08/2001,2001,12,"5500 Regent, Philadelphia, PA",B,M,20,shooting,Firearm
02/08/2001,2001,19,"1400 N. Wanamaker, Philadelphia, PA",B,M,40,shooting,Firearm
02/08/2001,2001,04,"600 W. Mifflin, Philadelphia, PA",B,M,20,shooting,Firearm
02/08/2001,2001,19,"1400 N. Wanamaker, Philadelphia, PA",B,M,20,shooting,Firearm
02/08/2001,2001,19,"1400 N. Wanamaker, Philadelphia, PA",B,M,41,shooting,Firearm
02/08/2001,2001,14,"7118 Boyer, Philadelphia, PA",B,M,19,shooting,Firearm
02/08/2001,2001,35,"11th&Lindley, Philadelphia, PA",B,M,27,shooting,Firearm
02/08/2001,2001,35,"1100 W. Wingohocking, Philadelphia, PA",B,M,44,shooting,Firearm
02/08/2001,2001,12,"1900 S. 66th, Philadelphia, PA",B,M,19,shooting,Firearm
02/09/2001,2001,16,"4000 Filbert, Philadelphia, PA",B,M,25,shooting,Firearm
02/09/2001,2001,18,"4000 Woodland, Philadelphia, PA",B,M,14,shooting,Firearm
02/09/2001,2001,16,"600 N. 34th, Philadelphia, PA",B,M,30,shooting,Firearm
02/09/2001,2001,19,"400 Edgemore, Philadelphia, PA",B,M,23,shooting,Firearm
02/09/2001,2001,19,"400 Edgemore, Philadelphia, PA",B,M,26,shooting,Firearm
02/10/2001,2001,24,"Auburn&Boudinot, Philadelphia, PA",B,M,17,shooting,Firearm
02/10/2001,2001,17,"2400 Manton, Philadelphia, PA",B,M,22,shooting,Firearm
02/10/2001,2001,35,"Broad&Olney, Philadelphia, PA",B,M,18,shooting,Firearm
02/10/2001,2001,39,"3300 N. Broad, Philadelphia, PA",B,M,25,shooting,Firearm
02/10/2001,2001,35,"Broad&Olney, Philadelphia, PA",B,M,20,shooting,Firearm
02/10/2001,2001,16,"898 Belmont, Philadelphia, PA",B,M,16,shooting,Firearm
02/11/2001,2001,14,"5220 Wayne, Philadelphia, PA",B,M,34,shooting,Firearm
02/11/2001,2001,25,"5th&Hunting Park, Philadelphia, PA",W,M,22,shooting,Firearm
02/11/2001,2001,19,"403 N. 64th, Philadelphia, PA",W,M,24,shooting,Firearm
02/12/2001,2001,17,"3003 Pierce Dr., Philadelphia, PA",B,M,18,shooting,Firearm
02/12/2001,2001,24,"1929 E. Tioga, Philadelphia, PA",W,M,23,shooting,Firearm
02/12/2001,2001,19,"3003 Pierce Dr., Philadelphia, PA",B,M,48,shooting,Firearm
02/12/2001,2001,19,"3003 Pierce Dr., Philadelphia, PA",B,M,28,shooting,Firearm
02/13/2001,2001,39,"18th&Hunting Park, Philadelphia, PA",B,M,43,shooting,Firearm
02/13/2001,2001,22,"1426 W. Susquahanna, Philadelphia, PA",B,M,31,shooting,Firearm
02/13/2001,2001,17,"2140 Latona, Philadelphia, PA",B,M,19,shooting,Firearm
02/13/2001,2001,18,"46th&Pine, Philadelphia, PA",B,M,50,shooting,Firearm
02/13/2001,2001,22,"1426 W. Susquahanna, Philadelphia, PA",B,M,28,shooting,Firearm
02/14/2001,2001,39,"20th&Westmoreland, Philadelphia, PA",B,M,29,shooting,Firearm
02/15/2001,2001,22,"2300 N. Natrona, Philadelphia, PA",B,M,20,shooting,Firearm
02/15/2001,2001,35,"4900 N. 2nd, Philadelphia, PA",B,M,34,shooting,Firearm
02/15/2001,2001,25,"7th&Butler, Philadelphia, PA",W,M,14,shooting,Firearm
02/15/2001,2001,01,"2600 Point Breeze, Philadelphia, PA",B,M,17,shooting,Firearm
02/16/2001,2001,25,"4th&Cambria, Philadelphia, PA",W,M,20,shooting,Firearm
02/16/2001,2001,12,"6000 Kingsessing, Philadelphia, PA",B,M,29,shooting,Firearm
02/17/2001,2001,23,"19th&Jefferson, Philadelphia, PA",B,M,24,shooting,Firearm
02/17/2001,2001,23,"19th&Jefferson, Philadelphia, PA",B,M,24,shooting,Firearm
02/18/2001,2001,15,"6200 Hawthorne, Philadelphia, PA",W,M,15,shooting,Firearm
02/18/2001,2001,19,"5419 Master, Philadelphia, PA",B,F,45,shooting,Firearm
02/19/2001,2001,26,"2042 Coral, Philadelphia, PA",W,M,21,shooting,Firearm
02/19/2001,2001,39,"17th&Butler, Philadelphia, PA",B,M,18,shooting,Firearm
02/19/2001,2001,12,"72nd&Woodland, Philadelphia, PA",B,M,27,shooting,Firearm
02/19/2001,2001,25,"8th&Erie, Philadelphia, PA",B,M,19,shooting,Firearm
02/19/2001,2001,25,"6th&Pike, Philadelphia, PA",W,M,19,shooting,Firearm
02/20/2001,2001,22,"3238 Page, Philadelphia, PA",B,M,25,shooting,Firearm
02/21/2001,2001,22,"2401 N. 16th, Philadelphia, PA",B,M,38,shooting,Firearm
02/21/2001,2001,22,"2401 N. 16th, Philadelphia, PA",B,M,48,shooting,Firearm
02/21/2001,2001,19,"726 Atwood, Philadelphia, PA",B,M,20,shooting,Firearm
02/21/2001,2001,19,"210 N. 53rd, Philadelphia, PA",B,M,21,shooting,Firearm
02/21/2001,2001,22,"31st&Cumberland, Philadelphia, PA",B,M,18,shooting,Firearm
02/21/2001,2001,22,"2401 N. 16th, Philadelphia, PA",B,F,23,shooting,Firearm
02/21/2001,2001,22,"2401 N. 16th, Philadelphia, PA",B,M,43,shooting,Firearm
02/21/2001,2001,14,"19th&Cheltenham, Philadelphia, PA",B,M,34,shooting,Firearm
02/21/2001,2001,22,"2401 N. 16th, Philadelphia, PA",B,M,35,shooting,Firearm
02/22/2001,2001,12,"5800 Chester, Philadelphia, PA",B,M,20,shooting,Firearm
02/22/2001,2001,23,"Broad&Girard, Philadelphia, PA",B,M,20,shooting,Firearm
02/22/2001,2001,19,"Conestoga&Master, Philadelphia, PA",B,M,23,shooting,Firearm
02/23/2001,2001,19,"1600 Redfield, Philadelphia, PA",B,M,20,shooting,Firearm
02/23/2001,2001,35,"1440 W. Cheltenham, Philadelphia, PA",B,F,51,shooting,Firearm
02/24/2001,2001,35,"9th&Lindley, Philadelphia, PA",B,M,27,shooting,Firearm
02/24/2001,2001,23,"2031 Master, Philadelphia, PA",B,M,49,shooting,Firearm
02/24/2001,2001,18,"600 S. Yewdall, Philadelphia, PA",B,M,18,shooting,Firearm
02/24/2001,2001,26,"2128 E. Huntingdon, Philadelphia, PA",W,F,46,shooting,Firearm
02/24/2001,2001,26,"600 W. Diamond, Philadelphia, PA",W,M,18,shooting,Firearm
02/25/2001,2001,25,"Germantown&Victoria, Philadelphia, PA",B,M,29,shooting,Firearm
02/25/2001,2001,24,"2061 Orleans, Philadelphia, PA",W,M,35,shooting,Firearm
02/25/2001,2001,24,"2061 Orleans, Philadelphia, PA",W,M,31,shooting,Firearm
02/25/2001,2001,22,"2437 N. 32nd, Philadelphia, PA",B,M,28,shooting,Firearm
02/25/2001,2001,12,"6900 Elmwood, Philadelphia, PA",W,M,20,shooting,Firearm
02/25/2001,2001,12,"5235 Woodland, Philadelphia, PA",B,M,28,shooting,Firearm
02/25/2001,2001,24,"2061 Orleans, Philadelphia, PA",W,M,35,shooting,Firearm
02/26/2001,2001,23,"1504 N. 19th, Philadelphia, PA",B,M,29,shooting,Firearm
02/26/2001,2001,14,"7751 Cedarbrook, Philadelphia, PA",B,M,14,shooting,Firearm
02/27/2001,2001,09,"15th&Green, Philadelphia, PA",B,M,22,shooting,Firearm
02/27/2001,2001,06,"Broad&Spring Garden, Philadelphia, PA",B,M,19,shooting,Firearm
02/28/2001,2001,35,"Upsal&Cedarbrook, Philadelphia, PA",B,M,46,shooting,Firearm
02/28/2001,2001,24,"3147 Custer, Philadelphia, PA",B,M,41,shooting,Firearm
03/01/2001,2001,12,"1810 S. Allison, Philadelphia, PA",B,M,33,shooting,Firearm
03/01/2001,2001,17,"2213 Watkins, Philadelphia, PA",B,M,19,shooting,Firearm
