CaseNumber,Date,Year,District,Location,LocationDir,LocationStreet,Age,Race,Sex,Hispanic,UCR,Weapon
M00277,11/20/2000,2000,12,01017,S,55TH,16,B,M,N,111,HANDGUN
M00278,11/21/2000,2000,18,00227,S,61ST,41,B,M,N,111,HANDGUN
M00280,11/23/2000,2000,22,02161,N,MARSTON,37,B,M,N,111,HANDGUN
M00281,11/26/2000,2000,25,02900,N,ORKNEY,20,W,M,Y,111,HANDGUN
M00282,11/26/2000,2000,25,02900,N,HANCOCK,22,W,M,Y,111,HANDGUN
M00283,11/26/2000,2000,06,01000,,BROWN,41,B,M,N,111,HANDGUN
M00284,11/28/2000,2000,22,02403,N,OPAL,55,B,F,N,111,HANDGUN
M00285,11/28/2000,2000,25,00400,W,INDIANA,23,A,M,N,111,HANDGUN
M00286,11/30/2000,2000,18,00054,S,60TH,34,B,M,N,111,HANDGUN
M00287,12/4/2000,2000,22,01817,N,24TH,24,B,M,N,111,HANDGUN
M00290,12/4/2000,2000,16,00027,N,PAXON,25,B,M,N,111,HANDGUN
M00291,12/6/2000,2000,17,03100,,MOUNTAIN DR,38,W,M,N,111,HANDGUN
M00292,12/9/2000,2000,25,00100,E,WYOMING,24,W,M,N,111,HANDGUN
M00296,12/10/2000,2000,02,06300,,CASTOR,28,B,M,N,111,HANDGUN
M00301,12/16/2000,2000,12,05657,,FLORENCE,41,B,M,N,111,HANDGUN
M00304,12/20/2000,2000,26,02358,,GERMANTOWN,37,B,M,N,111,HANDGUN
M00305,12/22/2000,2000,25,00800,W,BRISTOL,28,B,M,N,111,HANDGUN
M00307,12/24/2000,2000,25,00300,W,ONTARIO,22,W,M,Y,111,HANDGUN
M00308,12/25/2000,2000,23,01418,N,WILLINGTON,19,B,M,N,111,HANDGUN
M00310,12/26/2000,2000,19,05308,W,OXFORD,23,B,M,N,111,HANDGUN
M00311,12/28/2000,2000,16,00816,,LEX,18,B,M,N,111,HANDGUN
M00312,12/28/2000,2000,16,00816,,LEX,15,B,M,N,111,HANDGUN
M00313,12/28/2000,2000,16,00816,,LEX,18,B,M,N,111,HANDGUN
M00314,12/28/2000,2000,16,00816,,LEX,44,B,M,N,111,HANDGUN
M00315,12/28/2000,2000,16,00816,,LEX,54,B,M,N,111,HANDGUN
M00316,12/28/2000,2000,16,00816,,LEX,19,B,M,N,111,HANDGUN
M00317,12/28/2000,2000,16,00816,,LEX,34,B,F,N,111,HANDGUN
M00319,12/31/2000,2000,08,00222,,PARKDALE RD,31,W,M,N,111,HANDGUN
M00100,4/26/2000,2000,26,01507,N,DELAWARE,22,B,M,N,111,HANDGUNGUN
M00005,1/3/2000,2000,12,05800,,WILLOWS,18,B,M,N,111,HANDGUNS
M00218,9/7/2000,2000,25,03240,N,05TH,25,W,M,Y,111,HANGUN
M00193,8/12/2000,2000,25,03647,,GERMANTOWN,24,B,M,N,111,TECH9
M00052,2/18/2000,2000,23,00914,N,17TH,20,B,M,N,111,UNKNONW
M00007,1/5/2000,2000,03,00511,,CATHERINE,39,W,M,N,111,UNKNOWN
M00019,1/16/2000,2000,25,04000,N,REESE,22,B,M,N,111,UNKNOWN
M00025,1/20/2000,2000,35,04900,N,20TH,38,B,M,N,111,UNKNOWN
M00039,2/5/2000,2000,18,05118,,MARKET,29,B,M,N,111,UNKNOWN
M00040,2/6/2000,2000,18,05300,,MARKET,26,B,M,N,111,UNKNOWN
M00061,3/1/2000,2000,35,06015,N,05TH,35,W,M,N,111,UNKNOWN
M00063,3/3/2000,2000,18,00200,S,61ST,30,B,M,N,111,UNKNOWN
